"","ZCODE","units"
"1",0,2
"2",1,61
"3",7,329
"4",9,127
"5",13,183
"6",14,48
"7",18,30
"8",19,36
"9",21,29
"10",22,66
"11",28,60
"12",30,67
"13",31,64
"14",44,82
"15",60,55
"16",75,57
"17",87,67
"18",97,50
"19",109,239
"20",134,2
"21",143,8
"22",145,32
"23",146,114
"24",147,134
"25",161,53
"26",164,48
"27",167,34
"28",198,385
"29",201,67
"30",210,122
"31",214,67
"32",215,94
"33",219,67
"34",220,151
"35",234,22
"36",241,94
"37",247,22
"38",271,5
"39",272,156
"40",276,46
"41",279,74
"42",285,19
"43",286,178
"44",288,47
"45",291,6
"46",292,18
